study_id,site_id,chamber_id,state,estuary,wetland_type,chamber_latitude,chamber_longitude,chamber_position_method,chamber_elevation,chamber_elevation_zstar,chamber_elevation_method,chamber_elevation_datum
Janousek_et_al_2025,PBW-PA,2197,WA,Padilla Bay,Non-tidal wet pasture,48.4569291521,-122.469695124,RTK-GPS,1.195,-0.3195564516129032,RTK-GPS,NAVD88
Janousek_et_al_2025,SAU-PA,2066,OR,Coos,Non-tidal dry pasture,43.368373917,-124.1841979678,RTK-GPS,1.712,0.5561450044208665,RTK-GPS,NAVD88
Janousek_et_al_2025,SAU-PA,2067,OR,Coos,Non-tidal dry pasture,43.36837371,-124.1841588257,RTK-GPS,1.743,0.5835543766578251,RTK-GPS,NAVD88
Janousek_et_al_2025,SAU-PA,2068,OR,Coos,Non-tidal dry pasture,43.3683801538,-124.18406175370001,RTK-GPS,1.79,0.6251105216622459,RTK-GPS,NAVD88
Janousek_et_al_2025,SAU-PA,2069,OR,Coos,Non-tidal dry pasture,43.3683748593,-124.1840200071,RTK-GPS,1.737,0.5782493368700267,RTK-GPS,NAVD88
Janousek_et_al_2025,SAU-PA,2070,OR,Coos,Non-tidal dry pasture,43.368372511,-124.1839198142,RTK-GPS,1.739,0.5800176834659595,RTK-GPS,NAVD88
Janousek_et_al_2025,SAU-PA,2071,OR,Coos,Non-tidal dry pasture,43.3683699118,-124.1838812427,RTK-GPS,1.755,0.5941644562334217,RTK-GPS,NAVD88
Janousek_et_al_2025,SCS-RM,2072,OR,Columbia River,Emergent marsh,46.1290108995,-123.8792657228,RTK-GPS,2.096,0.5751789976133652,RTK-GPS,NAVD88
Janousek_et_al_2025,SCS-RM,2073,OR,Columbia River,Emergent marsh,46.1290399171,-123.8792690971,RTK-GPS,2.255,0.7016706443914081,RTK-GPS,NAVD88
Janousek_et_al_2025,SCS-RM,2074,OR,Columbia River,Emergent marsh,46.1291233947,-123.8792958878,RTK-GPS,2.423,0.8353221957040574,RTK-GPS,NAVD88
Janousek_et_al_2025,SCS-RM,2075,OR,Columbia River,Emergent marsh,46.1291501589,-123.8793114072,RTK-GPS,2.403,0.8194112967382658,RTK-GPS,NAVD88
Janousek_et_al_2025,SCS-RM,2076,OR,Columbia River,Emergent marsh,46.1292407028,-123.8793380386,RTK-GPS,2.279,0.720763723150358,RTK-GPS,NAVD88
Janousek_et_al_2025,SCS-RM,2077,OR,Columbia River,Emergent marsh,46.1292684659,-123.879352396,RTK-GPS,2.28,0.7215592680986475,RTK-GPS,NAVD88
Janousek_et_al_2025,SEC-EM,2084,WA,Columbia River,Emergent marsh,46.304815904,-123.6923296297,RTK-GPS,1.976,0.41327433628318594,RTK-GPS,NAVD88
Janousek_et_al_2025,SEC-EM,2085,WA,Columbia River,Emergent marsh,46.3048374463,-123.6923093833,RTK-GPS,1.914,0.35840707964601776,RTK-GPS,NAVD88
Janousek_et_al_2025,SEC-EM,2086,WA,Columbia River,Emergent marsh,46.304973823,-123.6923923954,RTK-GPS,1.94,0.3814159292035399,RTK-GPS,NAVD88
Janousek_et_al_2025,SEC-EM,2087,WA,Columbia River,Emergent marsh,46.3049985706,-123.6923853183,RTK-GPS,1.981,0.417699115044248,RTK-GPS,NAVD88
Janousek_et_al_2025,SEC-EM,2088,WA,Columbia River,Emergent marsh,46.3051064562,-123.692378731,RTK-GPS,1.995,0.43008849557522144,RTK-GPS,NAVD88
Janousek_et_al_2025,SEC-EM,2089,WA,Columbia River,Emergent marsh,46.3051319839,-123.6923750921,RTK-GPS,2,0.43451327433628334,RTK-GPS,NAVD88
Janousek_et_al_2025,SEC-TS,2090,WA,Columbia River,Tidal swamp,46.3078,-123.6899,Handheld-GPS,2.937,1.263716814159292,Leveling,NAVD88
Janousek_et_al_2025,SEC-TS,2091,WA,Columbia River,Tidal swamp,46.3078,-123.6899,Handheld-GPS,2.932,1.2592920353982302,Leveling,NAVD88
Janousek_et_al_2025,SEC-TS,2092,WA,Columbia River,Tidal swamp,46.3078,-123.6898,Handheld-GPS,2.772,1.117699115044248,Leveling,NAVD88
Janousek_et_al_2025,SEC-TS,2093,WA,Columbia River,Tidal swamp,46.3078,-123.6898,Handheld-GPS,2.797,1.1398230088495578,Leveling,NAVD88
Janousek_et_al_2025,SEC-TS,2094,WA,Columbia River,Tidal swamp,46.3079,-123.6902,Handheld-GPS,2.672,1.0292035398230093,Leveling,NAVD88
Janousek_et_al_2025,SEC-TS,2095,WA,Columbia River,Tidal swamp,46.3079,-123.6902,Handheld-GPS,2.657,1.0159292035398233,Leveling,NAVD88
Janousek_et_al_2025,SES-TS,2102,WA,Columbia River,Tidal swamp,46.3265,-123.6597,Handheld-GPS,2.479,0.8584070796460179,Leveling,NAVD88
Janousek_et_al_2025,SES-TS,2103,WA,Columbia River,Tidal swamp,46.3265,-123.6597,Handheld-GPS,2.522,0.8964601769911504,Leveling,NAVD88
Janousek_et_al_2025,SES-TS,2104,WA,Columbia River,Tidal swamp,46.3267,-123.6601,Handheld-GPS,2.421,0.8070796460176991,Leveling,NAVD88
Janousek_et_al_2025,SES-TS,2105,WA,Columbia River,Tidal swamp,46.3267,-123.6601,Handheld-GPS,2.649,1.0088495575221241,Leveling,NAVD88
Janousek_et_al_2025,SES-TS,2106,WA,Columbia River,Tidal swamp,46.3265838063,-123.660181309,RTK-GPS,2.56,0.9300884955752214,RTK-GPS,NAVD88
Janousek_et_al_2025,SES-TS,2107,WA,Columbia River,Tidal swamp,46.3265927336,-123.6602219229,RTK-GPS,2.64,1.0008849557522126,RTK-GPS,NAVD88
Janousek_et_al_2025,WAS-PA,2006,OR,Coos,Non-tidal dry pasture,43.2716655837,-124.3240848879,RTK-GPS,4.115,2.46644844517185,RTK-GPS,NAVD88
Janousek_et_al_2025,WAS-PA,2007,OR,Coos,Non-tidal dry pasture,43.2716887247,-124.3240600538,RTK-GPS,4.007,2.378068739770867,RTK-GPS,NAVD88
Janousek_et_al_2025,WAS-PA,2008,OR,Coos,Non-tidal dry pasture,43.2717499893,-124.3240042284,RTK-GPS,4.032,2.3985270049099836,RTK-GPS,NAVD88
Janousek_et_al_2025,WAS-PA,2009,OR,Coos,Non-tidal dry pasture,43.2717765133,-124.3239796277,RTK-GPS,3.994,2.3674304418985272,RTK-GPS,NAVD88
Janousek_et_al_2025,WAS-PA,2010,OR,Coos,Non-tidal dry pasture,43.2718459506,-124.3239147618,RTK-GPS,3.995,2.3682487725040917,RTK-GPS,NAVD88
Janousek_et_al_2025,WAS-PA,2011,OR,Coos,Non-tidal dry pasture,43.2718712981,-124.3238898891,RTK-GPS,3.989,2.3633387888707036,RTK-GPS,NAVD88
Janousek_et_al_2025,WAS2-PA,2012,OR,Coos,Semi-tidal dry pasture,43.2706241641,-124.321795659,RTK-GPS,3.042,1.5883797054009818,RTK-GPS,NAVD88
Janousek_et_al_2025,WAS2-PA,2013,OR,Coos,Semi-tidal dry pasture,43.2706545101,-124.3217846831,RTK-GPS,2.952,1.5147299509001637,RTK-GPS,NAVD88
Janousek_et_al_2025,WAS2-PA,2014,OR,Coos,Semi-tidal dry pasture,43.2707253694,-124.3217501605,RTK-GPS,2.872,1.4492635024549918,RTK-GPS,NAVD88
Janousek_et_al_2025,WAS2-PA,2015,OR,Coos,Semi-tidal dry pasture,43.2707569088,-124.3217372142,RTK-GPS,2.884,1.4590834697217676,RTK-GPS,NAVD88
Janousek_et_al_2025,WAS2-PA,2016,OR,Coos,Semi-tidal dry pasture,43.270828806,-124.3217219621,RTK-GPS,2.823,1.409165302782324,RTK-GPS,NAVD88
Janousek_et_al_2025,WAS2-PA,2017,OR,Coos,Semi-tidal dry pasture,43.2708581549,-124.3217092148,RTK-GPS,2.713,1.319148936170213,RTK-GPS,NAVD88
Janousek_et_al_2025,WIN-TS,2000,OR,Coos,Tidal swamp,NA,NA,NA,2.499,1.1440261865793782,Leveling,NAVD88
Janousek_et_al_2025,WIN-TS,2001,OR,Coos,Tidal swamp,NA,NA,NA,2.489,1.1358428805237315,Leveling,NAVD88
Janousek_et_al_2025,WIN-TS,2002,OR,Coos,Tidal swamp,NA,NA,NA,2.591,1.2193126022913259,Leveling,NAVD88
Janousek_et_al_2025,WIN-TS,2003,OR,Coos,Tidal swamp,NA,NA,NA,2.482,1.1301145662847794,Leveling,NAVD88
Janousek_et_al_2025,WIN-TS,2004,OR,Coos,Tidal swamp,NA,NA,NA,2.54,1.1775777414075288,Leveling,NAVD88
Janousek_et_al_2025,WIN-TS,2005,OR,Coos,Tidal swamp,NA,NA,NA,2.433,1.0900163666121112,Leveling,NAVD88
